DATE,TYPE,USD,JCD,ETH,PRICE,WALLET
1m ago,Sell,9.64,3450.45,0.003746,0.00000051041,1b06E9
1m ago,Sell,31.24,9126.74,0.01213,0.00000051154,1b06E9
1m ago,Buy,51.46,16430,0.02000,0.00000051563,776eA6
3m ago,Buy,12.86,5594.00,0.005000,0.00000069548,
12m ago,Remove,,255616,0.2096,,776eA6
,,,
1h 34m ago,Buy,26.22,12528,0.01000,0.00000068200,776eA6
1h 35m ago,Buy,15.75,7981.26,0.005999,0.00000067614,776eA6
1h 37m ago,Sell,23.70,12092,0.009014,0.00000067273,b46B0D
1h 37m ago,Buy,26.29,13193,0.01000,0.00000067794,0e33FA
2h 2m ago,Sell,12.49,6550.010,0.004771,0.00000067223,776eA6
2h 2m ago,Buy,35.45,18831,0.01352,0.00000067496,d1519E
2h 4m ago,Sell,8.99,5100.84,0.003453,0.00000066744,0B6884
2h 4m ago,Buy,51.57,30667,0.01980,0.00000066934,E6A316
2h 4m ago,Buy,44.28,30815,0.01700,0.00000065891,78aBBf
2h 4m ago,Buy,17.26,13368,0.006627,0.00000065063,7156E9
2h 6m ago,Buy,51.51,45506,0.01980,0.00000064757,5eD4FE
2h 13m ago,Sell,5.06,5004.080,0.001952,0.00000063900,78aBBf
2h 16m ago,Buy,51.80,55520,0.02000,0.00000063981,60131B
2h 16m ago,Sell,5.06,5004.080,0.001952,0.00000063900,
2h 19m ago,Buy,51.80,55520,0.02000,0.00000063981,60131B
2h 20m ago,Sell,9.84,11752,0.003799,0.00000063194,776eA6
2h 20m ago,Buy,90.65,129654,0.03500,0.00000063338,C42f85
2h 21m ago,Add,,467429,0.1000,,776eA6
2h 27m ago,Sell,7.08,12068,0.002734,0.00000062139,776eA6
2h 27m ago,Buy,25.90,52965,0.01000,0.00000062449,1Ec32f
2h 29m ago,Buy,10.78,33176,0.004161,0.00000061426,776eA6
2h 31m ago,Buy,16.25,74022,0.006276,0.00000061081,1b06E9
2h 31m ago,Sell,491.41,300000,0.1897,0.00000076515,1b06E9
2h 35m ago,Remove,,28264,0.01838,,776eA6
2h 42m ago,Buy,7.76,477.79,0.003000,0.00000056263,776eA6
2h 44m ago,Add,,6970.85,0.04300,,776eA6
2h 46m ago,Remove,,0.0000,0.05493,,776eA6
2h 47m ago,Add,,16211,0.1000,,776eA6
2h 55m ago,Buy,25.74,1668.020,0.01000,0.00000056168,776eA6
2h 55m ago,Buy,42.50,2985.65,0.01650,0.00000055747,776eA6
2h 57m ago,Buy,25.77,1970.77,0.01000,0.00000055211,E6A316
4mo 9d ago,Buy,26.77,20426,0.01000,0.00000064909,
4mo 9d ago,Buy,8.07,6231.80,0.002999,0.00000064784,776eA6
4mo 9d ago,Sell,374.04,250000,0.1389,0.00000064747,b46B0D
4mo 10d ago,Add,,90997,0.06043,,f4042E
4mo 10d ago,Sell,2.98,1629.40,0.001072,0.00000066641,776eA6
4mo 10d ago,Buy,139.42,78996,0.05000,0.00000066658,1915d4
4mo 12d ago,Sell,35.17,21566,0.01279,0.00000065896,776eA6
4mo 12d ago,Sell,18.48,11127,0.006764,0.00000066089,548Fa2
4mo 12d ago,Buy,546.45,423215,0.2000,0.00000066192,85e535
4mo 13d ago,Sell,2.52,2633.35,0.0009229,0.00000063534,851fcF
4mo 15d ago,Buy,8.19,8417.76,0.002999,0.00000063545,6E2BF5
4mo 15d ago,Sell,309.48,275000,0.1133,0.00000063511,85e535
4mo 20d ago,Buy,5.36,4021.010,0.001999,0.00000064937,F3Bb28
4mo 20d ago,Sell,266.94,180000,0.09959,0.00000064910,b46B0D
4mo 20d ago,Sell,5.44,3144.90,0.001985,0.00000066360,548Fa2
4mo 20d ago,Buy,194.13,118402,0.07000,0.00000066391,7d0082
